Venue,City,State,ZipCode,Adjusted Capacity
Rogers Place,Edmonton,AB,T5J 4Y8,20734
Bonnetts Energy Centre,Grande Prairie,AB,T8V 0R7,4500
Edmonton EXPO Centre,Edmonton,AB,T5J 2N5,4200
Union Hall - Edmonton,Edmonton,AB,T5B 4M9,900
Cowboys Tent - Calgary,Calgary,AB,T2G0W3,4500
Northern Alberta Jubilee Auditorium,Edmonton,AB,T6G2T2,500
Grey Eagle Resort and Casino,Calgary,AB,T3E 3X8,2600
Co-op Place,Medicine Hat,AB,T1C0H3,7000
Francis Winspear Centre,Edmonton,AB,T5J4X8,1932
Jack Singer Hall,Calgary,AB,T2G 0K8,1797
Stampede Corral,Calgary,AB,T2G 2W1,7475
Edmonton Convention Centre,Edmonton,AB,T5J 1N9,6000
Scotiabank Saddledome,Calgary,AB,T2G 2W1,19289
Dena'ina Center,Anchorage,AK,99501,5000
Alaska State Fair - Borealis Theatre,Palmer,AK,99645,3000
Carlson Center,Fairbanks,AK,99701,99701
Mobile Fairgrounds,Mobile,AL,36608,7000
Von Braun Center Arena,Huntsville,AL,35801,10000
Saenger Theatre-AL,Mobile,AL,36602,1921
Legacy Arena at The BJCC,Birmingham,AL,35203,17654
Tuscaloosa Amphitheater,Tuscaloosa,AL,35401,7740
Orion Amphitheater,Huntsville,AL,35805,8000
Saturn,Birmingham,AL,35216,500
Soul Kitchen,Mobile,AL,36602,1100
Druid City Music Hall,Tuscaloosa,AL,35401,1050
Mars Music Hall at Von Braun Center,Huntsville,AL,35801,1500
Avondale Brewing Company,Birmingham,AL,35222,2000
Von Braun Center Concert Hall,Huntsville,AL,35801,1955
BJCC Concert Hall,Birmingham,AL,35203,2800
Montgomery Performing Arts Center,Montgomery,AL,36104,1800
The Plant,Dothan,AL,36303,500
Boutwell Auditorium,Birmingham,AL,35203,6000
Bill Harris Arena,Birmingham,AL,35208,5000
Alabama Theatre Birmingham,Birmingham,AL,35203,2500
Amphitheater at The Wharf,Orange Beach,AL,36561,10000
Oak Mountain Amphitheatre,Pelham,AL,35124,10600
Iron City Birmingham,Birmingham,AL,35233,1300
Zydeco,Birmingham,AL,35203,1650
ASU Acadome,Montgomery,AL,36101,7400
Walmart AMP,Rogers,AR,72727,9500
Simmons Bank Arena,North Little Rock,AR,72114,18000
First National Bank Arena,Jonesboro,AR,72401,10252
Templelive,Fort Smith,AR,72901,1100
Robinson Performance Hall,Little Rock,AR,72201,2222
The Hall - Little Rock,Little Rock,AR,72201,1300
First Security Amphitheatre,Little Rock,AR,72201,8375
Footprint Center,Phoenix,AZ,85004,18422
Gila River Arena,Glendale,AZ,85310,18300
Tucson Arena,Tucson,AZ,85701,8962
State Farm Stadium,Glendale,AZ,85303,21000
The Van Buren,Phoenix,AZ,85003,1900
Arizona Federal Theatre,Phoenix,AZ,85003,5500
Findlay Toyota Center,Prescott Valley,AZ,86314,6200
Anselmo Valencia Amphitheater,Tucson,AZ,85746,5000
Harrahs Ak-Chin Casino Resort,Maricopa,AZ,85139,20000
Westworld of Scottsdale,Scottsdale,AZ,85260,3400
Chandler Arts Center,Chandler,AZ,85225,1508
Birds Nest Phoenix Open at TPC of Scottsdale,Scottsdale,AZ,85255,9000
Crescent Ballroom - Phoenix,Phoenix,AZ,85003,500
The Rock,Tucson,AZ,85719,7000
Marquee Theatre,Tempe,AZ,85281,1500
The Pressroom,Phoenix,AZ,85003,1000
Desert Diamond Casino Sahuarita,Sahuarita,AZ,85629,2000
Tucson Music Hall,Tucson,AZ,85701,9275
Celebrity Theatre,Phoenix,AZ,85008,2650
Ak-Chin Pavilion,Phoenix,AZ,85035,20000
Chase Field,Phoenix,AZ,85004,48686
Pub Rock,Scottsdale,AZ,85257,350
The Pool at Talking Stick Resort,Scottsdale,AZ,85256,650
Rialto Theatre Tucson,Tucson,AZ,85701,1200
Rogers Arena,Vancouver,BC,V6B 6G1,19700
PNE Rogers Amphitheatre,Vancouver,BC,V5K5J1,7000
Doug Mitchell Thunderbird Sports Centre,Vancouver,BC,V6T 1Z3,7200
South Okanagan Events Centre,Penticton,BC,V2A 9C4,5000
PNE Forum,Vancouver,BC,V5K5J1,3950
The CN Centre,Prince George,BC,V2N 6Z1,5500
EnCana Events Centre,Dawson Creek,BC,V1G 0A4,6500
Kelowna Theatre,Kelowna,BC,V1Y0B4,853
Western Financial Place,Cranbrook,BC,V1C6L9,6000
Abbotsford Centre,Abbotsford,BC,V2S 8H8,8500
Save on Foods Memorial Centre,Victoria,BC,V8T 4J2,7400
BC Place Stadium,Vancouver,BC,V6B 4Y8,54500
Fortune Sound Club,Vancouver,BC,V6A 1T5,294
Commodore Ballroom,Vancouver,BC,V6Z 1K3,990
Pacific Coliseum,Vancouver,BC,V5K 4W3,17713
Queen Elizabeth Theatre - Vancouver,Vancouver,BC,V6B 5N6,2765
Vogue Theatre - BC,Vancouver,BC,V6Z 1L2,1250
Sandman Centre,Kamloops,BC,V2C 1W3,5464
SAP Center,San Jose,CA,95113,17496
Golden 1 Center,Sacramento,CA,95814,17608
Crypto.com Arena,Los Angeles,CA,90015,18118
L.A. Forum,Inglewood,CA,90305,17505
Honda Center,Anaheim,CA,92806,18900
Chase Center,San Francisco,CA,94158,18064
Pechanga Arena,San Diego,CA,92110,16100
Bill Graham Civic Auditorium,San Francisco,CA,94102,7000
Greek Theatre - Los Angeles,Los Angeles,CA,90027,5800
Cal Coast Credit Union Open Air Theatre at SDSU,San Diego,CA,92128,4500
Shrine Auditorium and Expo Hall Los Angeles,Los Angeles,CA,90007,6300
Rose Bowl Stadium,Pasadena,CA,91103,92542
YouTube Theater,Inglewood,CA,90301,6000
Hollywood Palladium,Los Angeles,CA,90028,3500
Troubadour,West Hollywood,CA,90069,500
The Wiltern,Los Angeles,CA,90010,2300
The Rady Shell at Jacobs Park,San Diego,CA,92101,8500
Santa Barbara Bowl,Santa Barbara,CA,93103,4569
Banc of California Stadium,Los Angeles,CA,90037,22000
Toyota Arena - CA,Ontario,CA,91764,11089
The Grammy Museum,Los Angeles,CA,90015,600
SoFi Stadium,Inglewood,CA,90305,70240
Oakland Arena,Oakland,CA,94621,19596
Save Mart Center,Fresno,CA,93710,16182
Levi's Stadium,Santa Clara,CA,95054,68500
Mechanics Bank Arena,Bakersfield,CA,93301,10000
Morongo Casino Resort and Spa,Cabazon,CA,92230,2557
Pacific Amphitheatre,Costa Mesa,CA,92626,8000
Dignity Health Amphitheatre,Bakersfield,CA,93311,4000
El Rey Theatre Los Angeles,Los Angeles,CA,90036,70
The Fruit Yard,Modesto,CA,95357,3969
FivePoint Amphitheatre,Irvine,CA,92618,12000
California Mid-State Fair,Paso Robles,CA,93446,15000
Glen Helen Amphitheater,San Bernardino,CA,92407,65000
Luther Burbank Center for the Arts,Santa Rosa,CA,95403,1681
Bob Hope Theatre - CA,Stockton,CA,95202,2042
Cascade Theater,Redding,CA,96001,997
The Novo,Los Angeles,CA,90015,2400
Paso Robles Event Center,Paso Robles,CA,93446,3300
Ace of Spades,Sacramento,CA,95811,1000
Salinas Sports Complex,Salinas,CA,93906,16670
Harlows Night Club,Sacramento,CA,95816,300
The New Parish,Oakland,CA,94612,250
Fox Theater Pomona,Pomona,CA,91766,1750
Alex Madonna Expo Center,San Luis Obispo,CA,93405,2600
San Jose Civic,San Jose,CA,95113,2850
Los Angeles Memorial Coliseum,Los Angeles,CA,90037,78467
Soma,San Diego,CA,92110,2300
House of Blues Anaheim,Anaheim,CA,92802,1800
August Hall,San Francisco,CA,94102,951
North Island Credit Union Amphitheatre,Chula Vista,CA,91911,19500
Shoreline Amphitheatre - CA,Mountain View,CA,94043,22000
